title,pmid,abstract,indice
The relative contribution of the small and large intestine to the absorption and metabolism of rutin in man,17015248,"Tomato juice containing rutin (quercetin-3-rutinoside) was ingested by healthy volunteers and ileostomists. Blood and urine collected over 24 h were analysed by HPLC with photodiode array (PDA) and tandem mass spectrometric detection. Low concentrations of isorhamnetin-3-glucuronide (Cmax = 4.3 +/- 1.5 nmoles/l) and quercetin-3-glucuronide (Cmax = 12 +/- 2 nmoles/l) were detected in plasma of healthy subjects. Metabolites appeared in blood after 4 h indicating absorption from the large intestine. Nine metabolites of rutin were detected in urine but with considerable variation in total amount (40 +/- 1-4981 +/- 115 nmoles over 24 h). No metabolites were detected in plasma or urine of ileostomists and 86 +/- 3% of the ingested rutin was recovered in ileal fluid. In subjects with an intact large intestine, but not ileostomists, rutin was catabolised with the appearance of 3,4-dihydroxyphenylacetic acid, 3-methoxy-4-hydroxyphenylacetic acid and 3-hydroxyphenylacetic acid in urine accounting for 22% of rutin intake.",524
"Kinetic evaluation of colour, texture, polyphenols and antioxidant capacity of Irish York cabbage after blanching treatment",NA,NA,525
How much do cultivar and preparation time influence on phenolics content in walnut liqueur?,NA,NA,526
Tissue distribution and elimination of sesaminol triglucoside and its metabolites in rat,19517453,"Sesame exhibits many beneficial physiological effects, which are mostly related to its lignan compounds, such as sesaminol glucosides. This investigation studies the distribution and elimination of sesaminol triglucoside from sesame in Sprague Dawley (SD) rats. In order to investigate the distribution of sesaminol triglucoside (p.o. 500 mg/kg) in SD rats, the changes in concentration of sesaminol triglucoside and its metabolites were determined in tissues and plasma within 24 h period after tube-feeding to SD rats. Results showed that sesaminol triglucoside may be deglycosylated to form sesaminol first by intestinal microflora and then incorporated via lymphatic absorption into the cardiovascular system, transported to other tissues. The concentrations of sesaminol triglucoside and its metabolites in rectum, caecum, colon, and small intestines are higher than those in liver, lung, kidney, and heart. Its concentration in brain is low but detectable. Glucuronidation and sulfation was the main metabolic pathway for sesaminol in urine, and fecal elimination was a major route of elimination. From LC/MS/MS analysis of rat organs, sesaminol triglucoside can be converted to mammalian lignans, enterodiol (END), and enterolactone (ENL), by rat intestinal microflora. In the plasma, concentrations of END and ENL were 5.9 +/- 0.2 and 5.5 +/- 0.2 micromol/mL, respectively.",527
RP-HPLC analysis of phenolic compounds and flavonoids in beverages and plant extracts using a CoulArray detector,16013828,"Methods were developed for the analysis of natural antioxidants including phenolic compounds and flavonoids in beverages and plant extracts using gradient HPLC with multi-channel electrochemical coulometric detection. Suitability of various reversed-phase columns for this purpose was compared; pH and mobile phase gradients were optimized with respect to the separation selectivity and sensitivity of detection. Because of different target compounds in various sample types, the overlapping resolution maps and the normalized resolution product approaches described earlier were used to select optimum columns and gradients to suit the analysis of the individual sample types. The methods were applied to the analysis of phenolic compounds and flavonoids in beer, wine, tea, and yacon extracts. 32 phenolic compounds were identified and determined, including derivatives of benzoic and cinnamic acids, flavones, and a few related glycosides. Eight-channel CoulArray detection offers high selectivity and sensitivity with limits of detection in the low microg L(-1) range, at least an order of magnitude lower than single-channel coulometric detection using the Coulochem detector. No special sample pretreatment is necessary and, because of the compatibility of the CoulArray detector with gradient elution, phenolic antioxidants of different polarities can be determined in a single run. In addition to the retention times, the ratios of the areas of the pre-dominant and post-dominant peaks to the area of the dominant peak can be used for improved identification of natural antioxidants.",528
Antioxidant activity and total phenolic content of Iranian Ocimum accessions,NA,NA,529
"Improved HPLC method for the determination of curcumin, demethoxycurcumin, and bisdemethoxycurcumin",12059141,"Commercially available curcumin, a bright orange-yellow color pigment of turmeric, consists of a mixture of three curcuminoids, namely, curcumin, demethoxycurcumin, and bisdemethoxycurcumin. These were isolated by column chromatography and identified by spectroscopic studies. The purity of the curcuminoids was analyzed by an improved HPLC method. HPLC separation was performed on a C(18) column using three solvents, methanol, 2% AcOH, and acetonitrile, with detection at 425 nm. Four different commercially available varieties of turmeric, namely, Salem, Erode, Balasore, and local market samples, were analyzed to detect the percentage of these three curcuminoids. The percentages of curcumin, demethoxycurcumin, and bisdemethoxycurcumin as estimated using their calibration curves were found to be 1.06 +/- 0.061 to 5.65 +/- 0.040, 0.83 +/- 0.047 to 3.36 +/- 0.040, and 0.42 +/- 0.036 to 2.16 +/- 0.06, respectively, in four different samples. The total percentages of curcuminoids are 2.34 +/- 0.171 to 9.18 +/- 0.232%.",530
Flavonoids in fine buckwheat (fagopyrum esculentum Moench) flour and their free radical scavenging activities,NA,NA,531
Direct determination of phenolic compounds and phospholipids in virgin olive oil by micellar liquid chromatography,NA,NA,532
Antioxidant activity of processed table beets (Beta vulgaris var. conditiva) and green bean (Phaseolus vulgaria L.),NA,NA,533
A urinary profile study of dietary phytoestrogens. The identification and mode of metabolism of new isoflavonoids,7662591,"The metabolic fate of the dietary isoflavones daidzein and genistein was investigated in human volunteers challenged with soya. Urinary diphenols, isolated by partition chromatography on Sephadex LH-20, were characterized and identified by profile capillary gas chromatography (GC) and electron ionization mass spectrometry (GC-EIMS) analysis of the trimethylsilyl ether (TMS) derivatives. Novel isoflavonic phytoestrogens found in the urine of volunteers were those of tetrahydrodaidzein, dihydrogenistein, 6'-hydroxy-O-demethylangolesin and 2-dehydro-O-demethylangolensin. Other known diphenols identified were those of equal, dehydrodaidzein, O-demethylangolensin, daidzein, genistein, glycitein, and the lignan enterolactone. Two other urinary isomers with a fragmentation pattern closely resembling that of the persilylated TMS ethers of cis/trans-isomers of tetrahydrodaidzein, were characterized based on the elucidation of fragments associated with the loss of a non-phenolic-OTMS functional group in ring-C. These are fragments presented in the persilylated mass spectra of isoflavan-4-ols and isoflav-3-ene-4-ols, demonstrated here by a combination of simple and tandem mass spectrometry study of the deuterated persilylated TMS ethers of dihydrodaidzein. In a similar study we also present the data on the structural identification and fragment elucidation of the keto/enol tautomers of the TMS ether derivatives of the dihydro derivatives of daidzein and genistein, observed in the urine of volunteers and considered probable products of the derivatization process. Finally, the GC and GC-MS data of two unknown isoflavonoids and that of a lignan-like compound are presented together with those of dihydrodaidzein, dihydrogenistein, tetrahydrodaidzein and 2-dehydro-O-demethylangolensin. The latter four were obtained here as products of small scale chemical synthesis in a preliminary study on the tentative identification of urinary isoflavonoids in human volunteers challenged with soya.",534
HPLC method for analysis of secoisolariciresinol diglucoside in flaxseeds,11087462,"A method was developed for the analysis of secoisolariciresinol diglucoside (SDG) in flaxseeds. The analytical method involves extraction of defatted flaxseed flour with dioxane/ethanol, aqueous base-hydrolysis, solid-phase purification of an SDG-containing fraction, and quantitative analysis by high-performance liquid chromatography (HPLC). Pure SDG was isolated from flaxseed using different column chromatographic methods and used, as external standard, for the calibration of the method and for quantification. The method was then applied to study the variation in SDG content in flaxseeds from 14 cultivars grown in Sweden and 15 cultivars grown in Denmark. The SDG content varied between 11.7 and 24.1 mg/g in defatted flaxseed flour and between 6.1 and 13.3 mg/g in whole flaxseeds.",535
